release_date,survey_label,target_meeting,days_to_meeting,hike_pct,hold_pct,cut_pct,bmsi_rate_index,source_type,source_url,note
2022-08-23,2022년 9월 채권시장지표(BMSI),2022-08-25,2,97,3,0,3,news-article,https://v.daum.net/v/20220823114035025,"8/25 금통위 대상(조사 8/11~17, 100명). 뉴스1 '인상 97%(25bp 91%·50bp 6%), 기준금리 BMSI 3.0(직전 1.0)' 명시. 동결 3%·인하 0%는 지수식·합계로 확정. 금투협 원문 nttId=130146."
2022-09-20,2022년 10월 채권시장지표(BMSI),2022-10-12,22,,,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=130312&bbsId=BBSMSTR_000000000203,금투협 본문(종합 90.8)과 당일 보도에 기준금리 문항 없음(보도된 61%는 시장금리 상승 응답). 10월 금통위(10/12)는 10/7자 11월 지표가 담당.
2022-10-07,2022년 11월 채권시장지표(BMSI),2022-10-12,5,100,0,0,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=130421&bbsId=BBSMSTR_000000000203,10/12 금통위 대상(100명). 금투협 제목 '시장참여자 100%가 인상 예상' — 인상 응답 중 50bp 89%(뉴스1·이데일리·YTN). 동결·인하 0%는 100% 인상에 따른 확정값.
2022-11-22,2022년 12월 채권시장지표(BMSI),2022-11-24,2,99,,,,news-article,https://v.daum.net/v/20221122173646919,"11/24 금통위 대상(조사 11/11~16, 100명). 뉴스1·뉴시스 '인상 99%(25bp 70%·50bp 29%)' 명시. 잔여 1%가 동결인지 인하인지 원문·보도에 미명시라 -1 처리. 금투협 원문 nttId=130699."
2022-12-23,2023년 1월 채권시장지표(BMSI),2023-01-13,21,,,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=130929&bbsId=BBSMSTR_000000000203,"금투협 본문(종합 99.0)과 당일 보도에 기준금리 문항 없음(보도된 38%는 시장금리 상승 응답). 1월 금통위(2023-01-13)는 2023-01-11자 발표(67% 25bp 인상, nttId=131060, 발표일 기준 담당 기간 외)가 담당."
2023-01-11,2023년 2월 채권시장지표(BMSI),2023-01-13,2,67,33,,33,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=131060&bbsId=BBSMSTR_000000000203,"1/13 금통위 대상. 인상 67%(직전 99%), 인상 응답자 전원 25bp. 동결 33%는 차월(3월호) 보도자료의 '직전 33%' 표기로 확인한 금투협 공식 수치. 인하는 원문 미기재(인상+동결=100이므로 사실상 0). 보도자료 원문 HWP에서 직접 추출."
2023-02-21,2023년 3월 채권시장지표(BMSI),2023-02-23,2,34,66,,66,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=131318&bbsId=BBSMSTR_000000000203,"2/23 금통위 대상. 동결 66%(직전 33%), 인상 34%(그중 25bp 97%·50bp 3%). 인하 미기재(합계 100이므로 사실상 0). 언론 확인: 데일리안 2023-02-21."
2023-04-07,2023년 5월 채권시장지표(BMSI),2023-04-11,4,17,83,,83,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=131624&bbsId=BBSMSTR_000000000203,"4/11 금통위 대상. 동결 83%(직전 66%), 인상 17%(25bp 15%·50bp 1%·75bp 1%). 인하 미기재(사실상 0). 설문기간 3/29~4/3(머니투데이 2023-04-07 확인)."
2023-05-23,2023년 6월 채권시장지표(BMSI),2023-05-25,2,11,89,,89,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=131931&bbsId=BBSMSTR_000000000203,"5/25 금통위 대상. 동결 89%(직전 83%), 인상 11%(전원 25bp). 인하 미기재(사실상 0)."
2023-07-11,2023년 8월 채권시장지표(BMSI),2023-07-13,2,7,93,,93,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=132271&bbsId=BBSMSTR_000000000203,"7/13 금통위 대상. 동결 93%(직전 89%), 인상 7%(25bp). 인하 미기재(사실상 0)."
2023-08-22,2023년 9월 채권시장지표(BMSI),2023-08-24,2,8,92,,92,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=132521&bbsId=BBSMSTR_000000000203,"8/24 금통위 대상. 동결 92%(직전 93%), 인상 8%(25bp). 인하 미기재(사실상 0)."
2023-10-17,2023년 11월 채권시장지표(BMSI),2023-10-19,2,10,90,,90,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=132855&bbsId=BBSMSTR_000000000203,"10/19 금통위 대상. 동결 90%(직전 92%), 인상 10%(25bp). 인하 미기재(사실상 0)."
2023-11-28,2023년 12월 채권시장지표(BMSI),2023-11-30,2,1,96,3,102,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=133125&bbsId=BBSMSTR_000000000203,"11/30 금통위 대상. 동결 96%(직전 90%), 인하 3%(직전 0%; 50bp 2%·25bp 1%), 인상 1%(직전 10%; 50bp). 이 조사부터 인하 응답 최초 등장."
2024-01-09,2024년 2월 채권시장지표(BMSI),2024-01-11,2,,98,2,102,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=133417&bbsId=BBSMSTR_000000000203,"1/11 금통위 대상. 동결 98%(직전 96%), 인하 2%(25bp). 인상 미기재(동결+인하=100이므로 사실상 0)."
2024-02-20,2024년 3월 채권시장지표(BMSI),2024-02-22,2,0,100,0,100,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=133682&bbsId=BBSMSTR_000000000203,2/22 금통위 대상. 동결 100%(직전 98%) '만장일치'로 명기. 차월호 각주 '3월 BMSI(동결 100%)'로 재확인.
2024-04-09,2024년 5월 채권시장지표(BMSI),2024-04-12,3,1,98,1,100,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=133894&bbsId=BBSMSTR_000000000203,"4/12 금통위 대상. 동결 98%(직전 100%), 25bp 인하 1%, 25bp 인상 1%."
2024-05-21,2024년 6월 채권시장지표(BMSI),2024-05-23,2,,98,2,102,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=134034&bbsId=BBSMSTR_000000000203,"5/23 금통위 대상. 동결 98%(직전 98%). 인하 2%(25bp 1%·50bp 1%)는 8월호 각주 '6월 BMSI(동결 98%, 25bp 인하 1%, 50bp 인하 1%)'로 확인한 금투협 공식 수치. 인상 미기재(사실상 0, 지수 102와 정합)."
2024-07-09,2024년 8월 채권시장지표(BMSI),2024-07-11,2,,99,1,101,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=134211&bbsId=BBSMSTR_000000000203,"7/11 금통위 대상. 동결 99%(직전 98%), 인하 1%(25bp). 인상 미기재(사실상 0)."
2024-08-20,2024년 9월 채권시장지표(BMSI),2024-08-22,2,,90,10,110,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=134352&bbsId=BBSMSTR_000000000203,"8/22 금통위 대상. 동결 90%(직전 99%), 인하 10%(25bp). 인상 미기재(사실상 0)."
2024-10-08,2024년 11월 채권시장지표(BMSI),2024-10-11,3,,36,64,164,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=134542&bbsId=BBSMSTR_000000000203,"10/11 금통위 대상(인하 전환 직전). 인하 64%(직전 10%). 동결 36%는 12월호 각주 '11월 BMSI(동결 36%, 인하 64%)'로 확인한 금투협 공식 수치. 인상 미기재(사실상 0). 실제 10/11 금통위에서 25bp 인하 단행."
2024-11-26,2024년 12월 채권시장지표(BMSI),2024-11-28,2,,83,17,117,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=134711&bbsId=BBSMSTR_000000000203,"11/28 금통위 대상. 동결 83%(직전 36%), 인하 17%(25bp). 인상 미기재(사실상 0). 실제 11/28 금통위는 예상과 달리 25bp 인하."
2025-01-14,2025년 2월 채권시장지표(BMSI),2025-01-16,2,0,60,40,,news-article,https://biz.heraldcorp.com/article/10389747,1월 금통위(1/16) 대상. 기사 원문 '채권 전문가 60%는 동결 예측... 응답자 40%는 25bp 인하'. 인상 0%는 60+40=100에 따른 것(기사에 인상 응답 언급 없음). 금투협 구게시판 원문: kofia.or.kr/npboard/m_18/view.do?nttId=134880. 뉴시스 NISX20250114_0003031337도 동일 보도.
2025-02-21,2025년 3월 채권시장지표(BMSI),2025-02-25,4,0,45,55,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=135008&bbsId=BBSMSTR_000000000203,2월 금통위(2/25) 대상. 보도자료 헤드라인 '시장참여자 55%가 인하 예상[전월대비 15% 증가]'(직전 40%와 정합). 동결 45%는 데일리안(dailian.co.kr/news/view/1464524) '나머지 45%는 동결' 확인 → 인상 0%.
2025-04-15,2025년 5월 채권시장지표(BMSI),2025-04-17,2,0,88,12,,news-article,https://www.thedailymoney.com/news/articleView.html?idxno=1109589,"4월 금통위(4/17) 대상. 기사 원문 '88%는 동결... 나머지 12%는 인하' → 인상 0%. 금투협 신게시판 seq=25(게시일 2025-04-16, 첨부 250415_보도자료)."
2025-05-27,2025년 6월 채권시장지표(BMSI),2025-05-29,2,0,31,69,,news-article,https://www.newspim.com/news/view/20250527000351,5월 금통위(5/29) 대상. 기사 원문 '69%는 인하... 31%는 동결' → 인상 0%. 금투협 신게시판 seq=67(페이지에 '69%가 인하 예상' 노출).
2025-07-08,2025년 8월 채권시장지표(BMSI),2025-07-10,2,0,93,7,,news-article,https://www.viva100.com/article/20250708501151,7월 금통위(7/10) 대상. 동결 93%(직전 조사 31% 대비 +62%p). 인하 7%는 2025-08-26 머니투데이 기사의 '인하 16%(직전 7%에서 증가)' 인용으로 확인 → 인상 0%(93+7=100). 금투협 seq=101.
2025-08-26,2025년 9월 채권시장지표(BMSI),2025-08-28,2,0,84,16,,news-article,https://www.mt.co.kr/stock/2025/08/26/2025082614032999622,"8월 금통위(8/28) 대상. 동결 84%, 인하 16%(직전 7%에서 증가) → 인상 0%(84+16=100). 뉴시스 NISX20250826_0003303319 동일. 금투협 seq=135."
2025-10-21,2025년 11월 채권시장지표(BMSI),2025-10-23,2,,85,,,news-article,https://www.news1.kr/finance/general-stock/5948091,10월 금통위(10/23) 대상. 동결 85%만 보도(잔여 15% 분해 미보도). 참고: 12월 지표 보도(대한금융신문)의 기준금리 BMSI 104.0(직전 대비 -11.0p)에서 직전(11월) 지수 115 역산 시 인하 15/인상 0 시사되나 원문 미기재라 -1 처리. 종합 BMSI 111.5.
2025-11-25,2025년 12월 채권시장지표(BMSI),2025-11-27,2,,96,,104,news-article,https://www.kbanker.co.kr/news/articleView.html?idxno=222728,"11월 금통위(11/27) 대상. 동결 96%(직전 85% 대비 상승), 기준금리 BMSI 104.0 명시. 104=100+인하-인상 → 인하 4/인상 0 시사되나 원문 미기재라 -1. 뉴시스 NISX20251125_0003416193 동일 96%."
2026-01-13,2026년 2월 채권시장지표(BMSI),2026-01-15,2,,96,,104,news-article,https://www.blockmedia.co.kr/archives/1031613,"1월 금통위(1/15) 대상. 조사 1/2~7. 동결 96%, 기준금리 BMSI 104.0(직전 조사와 동일) → 인하 4/인상 0 시사되나 원문 미기재라 -1. 녹색경제신문(greened.kr idxno=335545)도 96% 보도. 종합 BMSI 96.8. 금투협 seq=283."
2026-02-24,2026년 3월 채권시장지표(BMSI),2026-02-26,2,,99,,101,news-article,https://www.sedaily.com/article/20011934,"2월 금통위(2/26) 대상. 동결 99%, 기준금리 BMSI 101.0 → 잔여 1%는 인하(101=100+1-0) 시사되나 원문 미기재라 -1. 종합 BMSI 96.5. 금투협 seq=323."
2026-04-08,2026년 5월 채권시장지표(BMSI),2026-04-10,2,6,93,1,,news-article,https://www.sedaily.com/article/20029964,"4월 금통위(4/10) 대상. 기사 원문 '93%는 동결... 인상은 6%, 인하는 1%'. 일부 보도에 기준금리 BMSI 95(직전 101 대비 -6p) 언급되나 출처 특정 못 해 -1. 직전 조사 비교치가 99%(=3월 지표)인 점은 4월 지표(3/18)에 기준금리 문항이 없었음을 시사. 종합 BMSI 96.3. 금투협 seq=359."
2026-05-26,2026년 6월 채권시장지표(BMSI),2026-05-28,2,1,99,0,,news-article,https://www.mt.co.kr/stock/2026/05/26/2026052613392397443,"5월 금통위(5/28) 대상. 동결 99%(실측 앵커 일치). 인상 1%/인하 0%는 2026-07-14 8월 지표 보도들의 '직전 조사 인상 1%, 동결 99%' 인용으로 확정. 종합 BMSI 85.1(8월 지표 보도 기준 전월값). 금투협 seq=405. 뉴스1·조세일보·디지털타임스 동일 보도."
2026-07-14,2026년 8월 채권시장지표(BMSI),2026-07-16,2,66,34,0,,news-article,https://www.etoday.co.kr/news/view/2603395,"7월 금통위(7/16, 2.50→2.75 인상 단행) 대상. 조사 7/3~8. 인상 66%/동결 34%/인하 0%(실측 앵커 일치). 머니투데이(mt.co.kr/stock/2026/07/14/2026071410225581350)·시사저널 동일. 종합 BMSI 86.2. 금투협 seq=450."
